,Unnamed: 0,COMPANY_NAME,REGISTERED_STATE,EMAIL_ADDR
0,0,ANDAMAN COCONUT AND AGRI PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,gauthamjai06@yahoo.co.in
1,1,ANDAMAN PRAGATI COCONUT PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,subbiahandco@gmail.com
2,2,DWEEPAM AGRI PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,primekoss@hotmail.com
3,3,ADHITHI MILK AND AGRI PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,subbiahandco@gmail.com
4,4,ANDAMAN AND NICOBAR ISLANDS FOREST AND PLANTATION DEVELOPMENT CORPORATION LIMITED..,Andaman and Nicobar Islands,babu.badat@gmail.com
5,5,ANDAMAN WOOD WORKS PRIVATE LIMITED.,Andaman and Nicobar Islands,vaksusi@gmail.com
6,6,ANDAMAN WOOD PRODUCES (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,nirmalkaushik@hotmail.com
7,7,BAY ISLAND FISHERIES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
8,8,MADURAI MEENAKSHI FISHING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
9,9,GATEWAY FISHING & LOGISTICS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
13,13,ANDAMAN FISHERIES LIMITED,Andaman and Nicobar Islands,aniidco@gmail.com
15,15,SOLOM TRADING PRIVATE LIMITED,Andaman and Nicobar Islands,subashinirubin@gmail.com
16,16,AQUATROPICS PRIVATE LIMITED,Andaman and Nicobar Islands,varmaspace@gmail.com
17,17,ANDAMAN STONE PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
18,18,IYYAN BLUE METALS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
19,19,ANDAMAN PAINTS PRIVATE LIMITED,Andaman and Nicobar Islands,applindia@yahoo.com
20,20,DOOJAIN TRADELINES PRIVATE LIMITED,Andaman and Nicobar Islands,doojainconfac@gmail.com
21,21,U AND I RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
22,22,SEA GRASS RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,gulmuhar21031986@gmail.com
23,23,ANDAMAN MOUNT HARRIAT RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,sksstalin@rediffmail.com
25,25,HOTEL ANDAMAN SEA RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,akayes123@gmail.com
27,27,BLUE SEA HOTELS(ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
28,28,ANDAMAN RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
29,29,HOTEL DHANALAKSHMI PRIVATE LIMITED.,Andaman and Nicobar Islands,roybagchi@gmail.com
30,30,HOTEL ABHISHEKH (ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
31,31,ISLET FOOD PRIVATE LIMITED,Andaman and Nicobar Islands,nirmalkaushik@hotmail.com
32,32,HOTEL APARUPA (ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,hotelaparupa@yahoo.com
33,33,SUN SEA RESORT PRIVATE LIMITED.,Andaman and Nicobar Islands,roybagchi@gmail.com
35,35,CORAL SEA RESORT (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
36,36,HOTEL SARVOTTAM (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
37,37,BLUE PLANET HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
38,38,ABERDEEN HOTELS & ESTATES PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
39,39,MUNJOH RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
40,40,ANDAMAN DOWN UNDER RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
