,COMPANY_NAME,REGISTERED_STATE,EMAIL_ADDR
0,ANDAMAN COCONUT AND AGRI PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,gauthamjai06@yahoo.co.in
1,ANDAMAN PRAGATI COCONUT PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,subbiahandco@gmail.com
2,DWEEPAM AGRI PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,primekoss@hotmail.com
3,ADHITHI MILK AND AGRI PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,subbiahandco@gmail.com
4,ANDAMAN AND NICOBAR ISLANDS FOREST AND PLANTATION DEVELOPMENT CORPORATION LIMITED..,Andaman and Nicobar Islands,babu.badat@gmail.com
5,ANDAMAN WOOD WORKS PRIVATE LIMITED.,Andaman and Nicobar Islands,vaksusi@gmail.com
6,ANDAMAN WOOD PRODUCES (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,nirmalkaushik@hotmail.com
7,BAY ISLAND FISHERIES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
8,MADURAI MEENAKSHI FISHING COMPANY PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
9,GATEWAY FISHING & LOGISTICS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
10,ANDAMAN MARINE INDUSTRIES PRIVATE LIMITED,Andaman and Nicobar Islands,
11,NOBTUN FISHERIES PRIVATE LIMITED,Andaman and Nicobar Islands,
12,ANDAMAN AND NICOBAR FISH PROCESSING PROJECT PRIVATE LIMITED,Andaman and Nicobar Islands,
13,ANDAMAN FISHERIES LIMITED,Andaman and Nicobar Islands,aniidco@gmail.com
14,OCEAN AIDS MARINE PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,
15,SOLOM TRADING PRIVATE LIMITED,Andaman and Nicobar Islands,subashinirubin@gmail.com
16,AQUATROPICS PRIVATE LIMITED,Andaman and Nicobar Islands,varmaspace@gmail.com
17,ANDAMAN STONE PRODUCTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
18,IYYAN BLUE METALS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
19,ANDAMAN PAINTS PRIVATE LIMITED,Andaman and Nicobar Islands,applindia@yahoo.com
20,DOOJAIN TRADELINES PRIVATE LIMITED,Andaman and Nicobar Islands,doojainconfac@gmail.com
21,U AND I RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
22,SEA GRASS RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,gulmuhar21031986@gmail.com
23,ANDAMAN MOUNT HARRIAT RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,SKSSTALIN@REDIFFMAIL.COM
24,THE BAY ISLANDS HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,
25,HOTEL ANDAMAN SEA RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,akayes123@gmail.com
26,BAY ISLAND DOLPHIN HOTEL AND TOURISM PRIVATE LIMITED,Andaman and Nicobar Islands,
27,BLUE SEA HOTELS(ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
28,ANDAMAN RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
29,HOTEL DHANALAKSHMI PRIVATE LIMITED.,Andaman and Nicobar Islands,roybagchi@gmail.com
30,HOTEL ABHISHEKH (ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
31,ISLET FOOD PRIVATE LIMITED,Andaman and Nicobar Islands,nirmalkaushik@hotmail.com
32,HOTEL APARUPA (ANDAMANS) PRIVATE LIMITED,Andaman and Nicobar Islands,hotelaparupa@yahoo.com
33,SUN SEA RESORT PRIVATE LIMITED.,Andaman and Nicobar Islands,roybagchi@gmail.com
34,GOLDEN REST ROOM PRIVATE LIMITED,Andaman and Nicobar Islands,
35,CORAL SEA RESORT (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
36,HOTEL SARVOTTAM (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
37,BLUE PLANET HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
38,ABERDEEN HOTELS & ESTATES PRIVATE LIMITED,Andaman and Nicobar Islands,roybagchi@gmail.com
39,MUNJOH RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
40,ANDAMAN DOWN UNDER RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
41,PRINCE HOLIDAY INN PRIVATE LIMITED,Andaman and Nicobar Islands,sagar.khurana@hotmail.com
42,BAY WATCH HOTEL & RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,dabayinnandaman@rediffmail.com
43,BLUE GREEN BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
44,BLUE GREEN VENTURES PRIVATE LIMITED,Andaman and Nicobar Islands,chendooran.pathmanathan@gmail.com
45,FALCON RESORT (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
46,JADWET RESORTS AND LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
47,MANSHA HOSPITALITY AND SERVICES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
48,AKABEA RESORTS AND LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,javed.khan@msn.com
49,WHITE CORAL BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
50,HOLIDAY INN BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,holidayinn_havelock@yahoo.in
51,HOTEL BLUE WAVES PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
52,ROYAL RESORTS & LEISURE PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
53,WOODQUARTER RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,susheeldixit63@gmail.com
54,SLR HOSPITALITY (ANDAMAN) PRIVATE LIMITED,Andaman and Nicobar Islands,andamanleisure@gmail.com
55,EMERALD GECKO(ANDAMANS) RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
56,JOYE GRAND HOTEL PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
57,SHELL RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,
58,JADWET HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
59,SUDHARSHAN ECO FRIENDLY RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,ROC@VLP.CO.IN
60,HAVELOCK COCONUT LEISURE RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,ajitroykr@gmail.com
61,LUSH GREEN ISLAND RESORTS AND TRADE PRIVATE LIMITED,Andaman and Nicobar Islands,pkentp@yahoo.co.in
62,SEA STAR BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
63,COCONHUTS (ANDAMAN) BEACH RESORT PRIVATE LIMITED,Andaman and Nicobar Islands,babu.badat@gmail.com
64,ANDAMAN RAMTULSI PRIVATE LIMITED,Andaman and Nicobar Islands,TAMARAISELVI9@GMAIL.COM
65,HAYWIZZ ELITE HAVELOCK ISLAND RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,haywizzelite@gmail.com
66,MANIKA VINAYAGAR HOTEL PRIVATE LIMITED,Andaman and Nicobar Islands,sentnin14680@gmail.com
67,SRI PONNU SWAMY ENTERPRISES PRIVATE LIMITED,Andaman and Nicobar Islands,anburamu1988@gmail.com
68,ATOMIUM HOTELS PRIVATE LIMITED,Andaman and Nicobar Islands,nirapada321@gmail.com
69,ANDAMANS PACKERS AND MOVERS PRIVATE LIMITED,Andaman and Nicobar Islands,roc@vlp.co.in
70,HIGHTECH PISTON (KARNATAKA) LIMITED,Andaman and Nicobar Islands,
71,AMMAN POULTRY AND FEEDS PRIVATE LIMITED,Andaman and Nicobar Islands,murugang1978@gmail.com
72,ISLAND ORGANIC PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,ANDAMANCPC@GMAIL.COM
73,MAYABUNDER AGRICULTURAL PRODUCER COMPANY LIMITED,Andaman and Nicobar Islands,JAYANTANAGBOD@GMAIL.COM
74,RAMYGANS PLANTATION PRIVATE LIMITED,Andaman and Nicobar Islands,
75,ECO RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,
76,ANDAMAN AGRO PRIVATE LIMITED,Andaman and Nicobar Islands,
